__id_std_norm,expected_events_sum,exp_labor_hours_total,exp_labor_cost_total,exp_material_cost_total,exp_total_cost,actual_pm_count,labor_hours_sum,labor_cost_sum,materials_cost_sum,total_task_cost_sum,expected_events_gap,expected_total_cost_gap,expected_labor_hours_gap
100054,4,2.8501480000000003,200.48000000000002,0.0,200.48000000000002,3,2.137611,150.36,0.0,150.36,1,50.120000000000005,0.7125370000000002
100055,4,1.9823173333333333,142.42666666666665,0.0,142.42666666666665,3,1.486738,106.82,0.0,106.82,1,35.606666666666655,0.49557933333333337
100056,4,1.9823173333333333,142.42666666666665,0.0,142.42666666666665,3,1.486738,106.82,0.0,106.82,1,35.606666666666655,0.49557933333333337
100057,4,1.9823173333333333,142.42666666666665,0.0,142.42666666666665,3,1.486738,106.82,0.0,106.82,1,35.606666666666655,0.49557933333333337
100058,4,2.850137333333333,200.48000000000002,0.0,200.48000000000002,3,2.137603,150.36,0.0,150.36,1,50.120000000000005,0.7125343333333332
100059,4,2.8501480000000003,200.48000000000002,0.0,200.48000000000002,3,2.137611,150.36,0.0,150.36,1,50.120000000000005,0.7125370000000002
100086,47,78.64666666666665,6349.543333333333,0.0,6349.543333333333,3,5.02,405.29,0.0,405.29,44,5944.253333333333,73.62666666666665
100094,14,12.3825,857.3133333333334,0.0,918.5058974358976,0,0.0,0.0,0.0,0.0,14,918.5058974358976,12.3825
100095,14,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,13,0.0,0.0
100385,20,378.2861426966292,24046.840074906366,1676.2910112359552,25842.504494382025,534,10100.24001,642050.63,44756.97,689994.87,-514,-664152.3655056179,-9721.953867303371
100446,4,5.068159076923076,312.60615384615386,22.535384615384615,432.29538461538465,13,16.471517,1015.97,73.24,1404.96,-9,-972.6646153846154,-11.403357923076921
100461,4,3.537857142857143,244.9466666666667,0.0,262.43025641025645,0,0.0,0.0,0.0,0.0,4,262.43025641025645,3.537857142857143
100466,8,7.075714285714286,489.8933333333334,0.0,524.8605128205129,0,0.0,0.0,0.0,0.0,8,524.8605128205129,7.075714285714286
100467,8,7.075714285714286,489.8933333333334,0.0,524.8605128205129,0,0.0,0.0,0.0,0.0,8,524.8605128205129,7.075714285714286
100468,8,7.075714285714286,489.8933333333334,0.0,524.8605128205129,0,0.0,0.0,0.0,0.0,8,524.8605128205129,7.075714285714286
