__id_std_norm,freq_code,expected_events,unit_labor_hours,unit_labor_cost,unit_material_cost,unit_total_cost,exp_labor_hours_total,exp_labor_cost_total,exp_material_cost_total,exp_total_cost
100633,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100643,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100644,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100653,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100658,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100662,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100666,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100668,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100675,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100681,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100682,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100686,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100689,A,20,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,17.689285714285713,1224.7333333333333,0.0,1312.1512820512821
100690,A,20,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,17.689285714285713,1224.7333333333333,0.0,1312.1512820512821
100694,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100698,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100701,Q,15,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,13.266964285714286,918.5500000000001,0.0,984.1134615384617
100704,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100710,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100711,A,20,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,17.689285714285713,1224.7333333333333,0.0,1312.1512820512821
100712,A,20,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,17.689285714285713,1224.7333333333333,0.0,1312.1512820512821
100718,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100722,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100727,SA,8,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,7.075714285714286,489.8933333333334,0.0,524.8605128205129
100731,2Y,2,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,1.7689285714285714,122.47333333333334,0.0,131.21512820512822
100736,M,43,0.8844642857142857,61.23666666666667,0.0,65.60756410256411,38.03196428571429,2633.1766666666667,0.0,2821.125256410257
